Emotion,Text
Disgust,"5 tri?u , ph?t m?t con m? l?a ??o , phá h?y ni?m tin ph?t giáo , làm ô u? ??i s?ng tâm linh ... th?t r? rúng làm sao !"
Sadness,c? tu?n không ???c nói chuy?n
Anger,per mày c?n th?n tao gi?t
Disgust,c?n l?i v?i b?n súc v?t này làm x?u m?t ng??i b?c giang
Other,bài này tao có 2 c?m xúc . ??u tiên v? quán trà . ??n c?m xúc quen l?i c thy xong b? m? c?m :))
Enjoyment,??p trai quá
Anger,?óng cái l?n tao nè ch? ?óng
Sadness,"kh? thân ng??i dân , tr??c d? án cao su là d? án cà phê , làm thêm d? án n?a coi nh? m?t ??i b? phí"
Sadness,"h?i nh? bà mày có cho m?t con ng?ng mình t? tay nuôi nó . t? ngày ?ó nó ?eo mày nh? chó mèo v?y . nh?ng khi l?n nó l?i m?c b?nh mà m?t . gi? c?ng h?n 4 , 5 n?m r?i nh?ng nh? nó l?m ??"
Enjoyment,h?i nh? ??c tao ?ã nghi nghi r?i =))))))))
Disgust,ng?m ngh? cha c?a thánh gióng v?i s? d?a ?n m?n vãi .
Disgust,"con c?n b?o v? thì gi?t s?ch còn con c?n tiêu di?t thì l?i ?em nuôi , cu?c s?ng l? lùng vãi ??"
Enjoyment,dù sao thì con trai v?n nên là ng??i m? l?i tr??c à ????????????
Sadness,ad cho h?i ngh? an lúc nào m?a v?y ah ????.. ?m c?ng cam lòng ch? vã l?m r?i ????
Sadness,gi?n ng??c l?i r?i gi?n luôn ch? có hu? ?éo ?âu :(((
Enjoyment,per tao ???c làm fan c?ng gi?ng mày r?i ??
Surprise,xem cái này m?i bi?t v?n ti?ng anh c?a mình c?ng khá !
Disgust,th?ng lol này tao ?éo bi?t nó s?ng t?t v?i m?i ng??i xung quanh nh? th? nào nào nh?ng nó ?ã ngu còn t? ra ngu h?n n?a
Enjoyment,ôi bé xinh gái vãi :))
Enjoyment,c??i sái m? quai hàm
Sadness,r?i khi mày có 1 ít ti?n :)) mày m?i phát hi?n ra còn ?éo c? có ng??i ?i cùng c?
Sadness,t? d?ng cay m? m?t
Fear,tao s? th?t s? :(((
Enjoyment,per th?t n??ng lò xô ne ?n z mà không ch?t ????????
Enjoyment,t?t quá
Enjoyment,ông nào vi?t vui tính th? =)) c?ng th?t
Surprise,không hi?u sao nhìu ng??i l?i th? haha nh? ??
Disgust,di?n viên già vãi -.-
Enjoyment,ghét nh?t m?y lo?i bép xép th? thôi . nhanh g?n l? ??????
Enjoyment,c?ng quá ?i
Surprise,nhìn m?u này l? m?t mà ??p quá
Sadness,tao cay m? khoé m?t
Disgust,th?y m?t thêm ch? ch?ng kh?e gì c? .
Enjoyment,":)) ?ang ?n m? , không có tr?ng nh?t l?m , có r?nng thì xin vài qu? !"
Enjoyment,"c?m ?n nói chuy?n nh?t ! 1 n?n khoa h?c , giáo d?c , trí tu? v?n minh !! ??"
Disgust,tao m?t chúng mày quá
Enjoyment,hahaha lúc tr??c ca làm có 4 ch? em vui bi?t bao :))
Disgust,?? th? kia thì có khác nào mua cái bánh mà b? ??a bán hàng nó t?t cho gáo n??c l?nh ?âu ??
Other,các b?n ?ang b?o con này ah ??????
Enjoyment,má ch? d? th??ng v?y tao c?ng mu?n xin
Enjoyment,"kinh nghi?m ???c truy?n l?i là khi nào n?u xong b? tí "" tro "" vào l?n sau không ph?i n?u ??"
Sadness,"có nh?ng con ng??i luôn ph?i ch?u ??ng cay , cta không ???c ch?n gia ?ình , b?n bè và càng không có quy?n l?a ch?n cu?c s?ng này . hãy vui lên v?i t?t c? nh?ng gì ta ?ang có dù là hai bàn tay tr?ng"
Anger,??t m? không có cái lo?i nào nó ác man và tàn ??c h?n là cái lo?i ng??i . xem mà ?iên ?éo ch?u ???c
Enjoyment,nhìn th??ng quá ... lao ??ng nghiêm túc
Sadness,?m th?c t? nh? này còn hay . ti?c là ?éo ? g?n mình =))
Other,per m?y tr? kia em không tag ???c
Anger,nh?n nh?m con c?c . ph?i nói là 10 th?ng thì 1 th?ng nuôi con th?ng khác
Surprise,per ? ? ? ?ây là ?âu v?y
Anger,g?m g?m cái ?éo ? à ... b? g?m luôn mày gi? ...!!!
Disgust,"th?ng nào nói câu : th? thì ??ng làm ngh? này . v n?u không có ng??i làm ngh? này thì ks s? m? c?a cho chúng mày vô àk , ng??i có ?n h?c có ? th?c s? không nói ra câu ?ó ."
Disgust,k ph?i là tr?i không cho mày yêu . vì m quá ngulon
Fear,"per t?ng quà cáp gì t?ng h?p nh? thôi nha . ?i hát hò gì ??ng ?em thùng quà to nh? v?y nha , nó bi?t nó nh? tr?i lông nó ng?t mép ch?t ?ó :(("
Sadness,h?t ti?n r?i này
Enjoyment,"??p , d? th??ng mà"
Anger,t? hình con m? nó l? chó má không có tính ng??i ?i . kh? thân l? tr?
Enjoyment,phim xem hay ... nh? nhàng tình c?m ... và c??i vkl
Sadness,th? làm sao d? b?n gái ?ang gi?n :(
Anger,t nói th?t tao hi?n l?m . ch? bà l?n to kia mà g?p tao là ?n m?y cái m? b?o hi?m vào m?t r?i :)
Fear,loài này bé nh? ngón tay phàm ?n l?m s? luôn
Disgust,"phí d?ch v? cao nh?t , chuy?n ti?n n?i m?ng tr? phí t?m nh?t , thái ?? làm vi?c b? láo nh?t , ít ?u ?ãi nh?t ...."
Disgust,dume trailer kinh d? cho l?m vô r?p g?p toàn b?n xàm ng?i c??i
Sadness,ch?ng ?? d?u dàng ?? níu b??c chân anh
Other,1 cái xe cup này ngày x?a b?ng m?y cái nhà li?n
Enjoyment,m?i phút bên em th?t tuy?t v?i . ch? em m?i cho anh cái c?m giác ?ó
Sadness,em ch?a có ng??i yêu . có ai yêu em không . em cô ??n quá
Enjoyment,nh? nh?t nh?ng ? ngh?a và h?nh phúc ??
Enjoyment,per =)))))) hít ?i cho no ch? m?c công l?i ch?i tao không bi?t ?i?u gi? trò tr??c m?t c?u fa nh? mày :)
Other,b? ?òi cái gì v?y ?
Sadness,"cái th? ba , tr?i nhìn mà r?i n??c m?t thay cho luôn công c? m?t mùa mà ?i tong ch? vì m?t tr?n m?a"
Surprise,per bi?t không :)))
Sadness,dù có s?ng ???c m?y ??i thì c?ng n? m? cha tr?n c? m?y ??i .
Disgust,m?y cái tin này th??ng làm tan nát tình c?m gia ?ình trong lúc ?n c?m xem th?i s? .. b? t? s?
Disgust,cô tiên béo quá .. ???? gi?ng còn the thé n?a .. ????
Disgust,lên án nhi?u r?i mà v?n th? .
Disgust,th?ng này ngu vãi
Surprise,cây tre có t?n tr?m ??t luôn h? ???
Sadness,nói ti?ng tuy hoà phú yên làm tao nh? ??n nyc . gi?ng nó sao ng?t không th? t? . bu?n
Disgust,"per m? m?t , tr?a nào c?ng nhìn mày nhai chóp chép .."
Fear,"??ng nên thích m?y ông anh c? b?p , s? l?m ??"
Enjoyment,có ai v?a coi mà th?y phê phê cái l? tai gi?ng tôi không ?? ??
Disgust,tao ?éo hi?u sao ng??i yêu tao ?i c?t tóc v? trông m?t ngáo ??n kì l? ??????
Sadness,và khi quay l?i nói chuy?n v?i nhau .... bi?t nói gì gi? huhu
Disgust,th?ng cha b?o v? có tâm quá . nge con nh? kêu nguyên ?êm zi mà ?éo c?u
Disgust,c?ng m?t công ?? mà sao m? chúng nó ?? ra l? ngu th? haiz
Disgust,tao th?y gi?ng khùng v?i l?i vô duyên ch? hay gì
Enjoyment,c?n gì nh?ng th? xa hoa l?ng l?y ?âu . dù ch? 1 bông hoa nh?ng ?ong ??y yêu th??ng nh?n tin ?ã c?m th?y ?? h?nh phúc r?i ??????
Fear,t g?p ng?ng ch?y b? dép
Disgust,"v?a ngu v?a ngông thì th? , làm tr? tàu c?a ng??i ta"
Surprise,sao nó trèo lên ???c hay v?y @@
Enjoyment,"khuôn m?t ngây th? vô s? t?i , trái tim nh? bé c?a tao sao ch?u ???c ???"
Sadness,cu?c s?ng mà ?ành ch?u thôi =(((
Sadness,"c?p 3 , ?áng ti?c nh?t trong th?i h?c sinh ^^"
Other,"per mình ?ang nói ph?n l?n thôi , ch? t?t nhiên c?ng có ngo?i l? mà"
Enjoyment,"thích ch? này nh?t phim í , bé bé xinh xinh l?i di?n r?t ??t :3 . hy v?ng mai sau s? có b??c ti?n l?n và thành công h?n n?a < 3"
Disgust,d?o này xem video c?a per chán ?y không nh? x?a t?i gi? toàn qu?ng cáo ?y ( ? ki?n cá nhân ) ??
Other,t th?y ch? có gì thú v? .
Surprise,v?y mà c?ng ch?ng hút ???c khách !
Enjoyment,khi nào lên chùa ba vàng gi?i ???c vong thì k?t hôn :))
Disgust,thu? thi?u th?i ai ch?n có phút b?c ??ng . nên cho nó m?t tr?n ?? r?ng ?e .. ??
Enjoyment,ch?c ph?i 6 n?m ch?a n?u ki?u này r?i tr??c n?u hôm ??u c?m d?o ai c?ng khen ngon
Disgust,c?n c?nh cái b?ng n??c lèo c?a boss =))) xài hao vãi
Other,b?n ch?t tham lam c?a con ng??i th? hi?n ngay t? nh?ng vi?c nh? ..
Sadness,em ?i b? ch?t m? ?ây này
Enjoyment,"th?t t?t vì chú chó ?y ?ã tìm ???c ng??i yêu th??ng nó , kiên trì ?? nó tin t??ng th?t s? :"">"
Disgust,"phim này xem nam chính thôi . n? chính di?n chán vãi lúa l?m lúc t?t h?ng l?m . gi?n không ra gi?n , vui không ra vui ."
Disgust,nhìn m?t nó khó ?a th?t ch?
Other,l?n sau thì mình s? nh? th? ?? ?? ph?i cãi nhau nhi?u ah :-)
Other,gi? lên ph??ng ng??i ta có phát chú r? không nh? các b?n ?
Disgust,m?t cái ngu th?t s?ng ?áng
Enjoyment,n?m nay tao không còn c?m th?y cô ??n và m?i chân n?a ... vì tao ???c ng?i mát và ?n ké socola of b?n có ng??i yêu ????...# mun ??
Other,hãy dùng m?t ??i ?? minh ch?ng nhé !????
Disgust,con m? ?en sai còn già m?m ...
Enjoyment,ch? c?n yên bình nh? th? này thôi . ??????
Sadness,n?m nay ???c nh?n hoa và ???c ng?i nhìn ng??i ta h?nh phúc
Fear,ch? s? lúc nó dí
Enjoyment,hên là chay ra kip
Anger,immm
Sadness,tao c?ng có 1 ng??i bà nh? trong video nh?ng bà ?y qua ??i r?i ??????
Enjoyment,?a ? ng??i yêuc quá ?
Disgust,"5tr là ti?n bà y?n cúng vong cho công an ph??ng quang trung ?? gi?i oan gia trái ch? c?a bà ti?n ki?p thôi , ch? ph?t g ?âu , x?p l?n c?a bà và x?p l?n c?a công an ph??ng là 1 , ai l?i ?i ?á gà nhà ..."
Fear,kinh d? v
Enjoyment,th?t may em ?ã g?p ???c ng??i tài x? t?t ????
Surprise,b?n không tr??t phát nào luôn à
Surprise,t?i sao mày n?m vi?n mà v?n xinh th? ??
Surprise,??p trai mà b? ?á à
Sadness,cho con ???c thay ông bán vé ?i ??
Disgust,l?p xu?t hi?n th? âm binh
Enjoyment,??c bình lu?n c??i ?
Enjoyment,per cách này coi b? hay nha ??
Enjoyment,"m?t ?úng ki?u , em hi?u c?m giác phê c?a anh không kkk"
Disgust,per thanh niên su?t ngày hát karaoke max volum
Disgust,l? câu chuy?n là th?t thì sao . ch?a gì lên ch?i ng??i ta là r? rách
Anger,b? mày ng?a m?t l?m r?i ??y
Anger,th? ??t m? ngay ?o?n hay cái lên nh?c + cast mu?n ??p ?i?n tho?i vãi :)
Anger,c? ?ám súc v?t này
Disgust,b? m?y th?ng b?nh
Sadness,th?t khó ?? có c? 2 khi chúng ta còn tr? :)
Disgust,n?u c?m th?y không làm ???c thì ngh? làm ?i . ?ã xin ?i làm thuê thì ph?i ch?p nh?n thôi . kêu than cái gì
Enjoyment,may mình ?i làm r?i ch? 10 n?m tr??c ch?c s? phát kh? v?i b? m? vì m?y tin con nhà ng??i ta nh? th? nào
Disgust,còn em trai c?ng c?a tao sang nhà ng??i thân quen c?a gia ?ình chowi th? là b? nhà h? nh?t l?i h?n 10 ngày li?n ... dlm nh?t l?i ?? em trai tao b?t chu?t cho nhà h? m?i hãm l?n
Disgust,m?y th?ng này ng??i ta g?i là m?y th?ng nhà quê . n?m nào r?i còn túm 5 t?m 3 trêu gái
Enjoyment,cô giáo có tâm v?i ngh? ghêeeee
Sadness,ti?c quá ??p trai m? không có chim
Enjoyment,crush ? nhà ch?i gane r?i haha
Sadness,nhìn stt ??ng c?m kh?ng khi?p .
Enjoyment,cài lò xô huy?n tho?i
Disgust,quên ?ào t?o ??o ??c thôi mà báo làm c?ng vãi ??
Disgust,?i b?i nên não b? úng n??c à m?y th?ng m?t l?n suy ??i ??o ??c
Enjoyment,"c? g?ng lên m?i l? l?c và công lao c?a em s? ???c ??n ?áp m?t cách th?t là s?ng ?áng , c? g?ng lên em nhé ??"
Fear,h?i nh? c? ?i qua ch? nào mà nhìn t? xa th?y bóng dáng m?y con ?u? này là chu?n b? tinh th?n ch?y ch? nó dí s?p m?t luôn dù mình ?éo làm gì nó h?t ?? v?a dí v?a ngoác m? hét s? vãi ra
Anger,tr?n c?ng ?éo tha
Enjoyment,"con g?u trúc , cho nó ?n trúc ?i =))) t??ng ng?i nhìn c?ng vãi"
Sadness,r?i l?i im thôi . 200k hay 5tr thì c?ng v?y
Enjoyment,"cái lò huy?n tho?i nè per , lúc mình ? chung ?ó"
Fear,hi v?ng tr?a nay lúc ?n c?m vtv24 s? không ??a tin v? b?n này ?
Fear,tí n?a v? nó v?t chân lên c? bò thì hú h?n
Enjoyment,tuy?t v?i
Surprise,tr? con bao gi? ga l?ng s?m th? nh? ?! h?i mình b?ng b?n này ?u?i ?ánh nhau h?i ch?t :)))))
Other,tính ?i ch?y xe mà m?a cho nên ta ? nhà :)
Enjoyment,nhìn nó c?ng quá
Disgust,ch? t?ch gi? làm nh?n và cái k?t . ??ng bao gi? xem th??ng ng??i khác .
Disgust,"này thì c?t ??c quan h? , toàn th? hi?n , dume nó"
Disgust,con gái bây gi? ch?ng nh? ???c cái ?éo gì nh? có phát mà ??p m? luôn cái bình
Enjoyment,h?nh phúc to nè
Disgust,"?? "" thâm "" c?a bác ph?i g?i là "" b? "" c?a tàu"
Enjoyment,ông th?n nhây vãi ?ái ????
Surprise,tóm l?i v?n ? à
Sadness,ch? v? n??c m?t à ??
Anger,con l?n kia sao ??p vào ??u v? bé c?a tao =))
Other,tôi r?t mong s? ph?t giao thông c?ng m?nh tay nh? th? nào thì t?t
Fear,c? s? r?t ?i?n tho?i :)))) s? nh?t là l? khúc nào khó là té không th? t? n?i
Enjoyment,hình nh? anh nay ?óng phim ngây ngô thì f?i ... phim ?ó hay l?m các b?n nên xem
Enjoyment,hahaa coi cái m?t con nh? th?y th??ng
Enjoyment,"per khi?p nh? ngày x?a quá anh em ?i , ?i làm c??i t? sáng t?i t?i luôn ??"
Other,per t? nhiên tao c?m th?y b? nh?t nh?t trong ng??i mày ?
Enjoyment,"t? n?m m?i th?y c??i m?t l?n ng??i gì ?âu mà khó c??i ??n th? ?? ch? bù cho mình , lúc ?éo nào c?ng c??i , cu?c s?ng tràn ng?p ni?m vui < 3"
Enjoyment,không ph?i crush :v nh?ng mà nhìn ?ng c??i m?m nhìn cute vãi -.-?????
Enjoyment,per anh t?ng v? cái bát nha kaka
Enjoyment,"tiêu ?? b? phim c? ng? là th? lo?i hài , nh?ng n?u xem h?t thì các b?n s? rút ra r?t nhi?u ?i?u và cái hay trong phim này"
Anger,nh? lol
Surprise,b?t ng? ch?a =)))
Anger,"tr?i m?i b?t ??u m?a , ?éo lo thu thóc ?i ??ng ?ó quay ngang quay d?c"
Anger,"ay , ?au th? , th?ng chó !"
Sadness,"có ai nhìn th?y hình nh? ng??i ?àn ông này ?ang r?t ?au kh? không nh? ? mình nh?n th?y hình nh? ông ?y ?ang r?t ?au kh? , mà không th? or không mu?n nói ra ."
Anger,"?m cho tù m?t gông ?i , cái th? không não"
Anger,con tao mà b? nh? này . c? nhà bon kia không qu? mà xin thì xác con m? ??nh luôn
Sadness,a per ..... nhìn nh?ng hình ?nh này ... sao em nh? v? anh quá .... 15 n?m ròng rã .. gi? anh l?u l?c n?i ?âu . ????????
Disgust,"ki?n ph?i lo?i ki?n l?a , ki?n vàng , còn lo?i ki?n l?y c?t trâu làm t? này thì ??t gì h? ông z?i :))"
Enjoyment,per có nên áp d?ng v?i anh hàng xóm không nh? ??????
Enjoyment,?áng yêuc quá
Other,ok mà c?n gì c? c?t ch?t l??ng l?i thôi v?n bán giá v?y
Disgust,làm nh? ch? có chúng mày bi?t yêu nhau ? .
Other,nói chung là không nên u?ng ch?ng b? béo gì ?âu
Enjoyment,không n?i thì mình chìm haha
Other,nóng tính quá h?ng vi?c - tr? em r?t thích ng?t mình nên nh? nhàng c??ng quy?t m?i ???c
Other,anh c?ng b??ng làm !
Anger,"m?i l?n nh? th? tao ch?i , mà b?n nó xem ?ó là trò ?ùa mày ? , càng ch?i càng c??i"
Sadness,nhìn ma ti?c t?ng h?t trân châu
Enjoyment,th?t c?m ??ng
Surprise,"tr?i ?i , tin ???c không ????"
Enjoyment,per nhìn m?t hài vler :)))
Enjoyment,"??y g?i là bi?t ngu mà v?n ?âm ??u vào , gi?ng tao :)"
Enjoyment,m?t phút huy hoàng r?i ch?t t?t còn h?n le lói gi?a ngàn thu
Disgust,ng??i ngoài hành tinh ?i h?c ti?ng anh r?i à vãi
Sadness,?ó là m?t câu chuy?n bu?n ??
Disgust,l?i ??o c?
Disgust,per d?o này b? xàm à ??????
Sadness,nh? ch?t ?i s?ng l?i ??
Sadness,"b?t c? lúc nào ngh? v? ??i tao ch? th?y v? cay , n?ng n?i khóe m?t :))"
Enjoyment,?i?n cho ??a b?n . ?em m? ra . coi ai h?n ai . kakaa .
Anger,th? tao ra ?? tao c?n ch?t m? nó =))
Enjoyment,per tao c? th?y gi?ng gi?ng mày :)))))
Disgust,v?n ?? là ph?i c?m ???c x? th?i ch? không thì ch?ng khác m? gì nhau
Disgust,"gi?i thì t? ?i mà thi?t k? các ki?u . ? ?ó ch? gi?i cào phím chê bai thôi . ông ?ã làm ???c gì , am hi?u gì mà chê này chê n?"
Enjoyment,ngoài kia ! còn có r?t nhi?u ?i?u t?t ??p v?n còn trên th? gi? này ! hy v?ng nh?ng ?i?u t?t ??p luôn di?n ra t?ng giây phút ..
Enjoyment,c?ng h?t s?c nà
Disgust,"h?c ki?u ?n nói láp x??c , t?i sao không d?y x?ng tôi hay tôi mà là tao . ?úng ch?t b?c láo"
Surprise,cái n?m này ?? ?àn h?i ??nh ghê
Sadness,"em l?y ?i ni?m tin ch? l?i cho anh nh?ng gì , c?ng vì anh v?ng v? ?ánh r?i hay càng xa v?i càng d? m?t .. anh chân thành nên anh t?n th??ng"
Anger,con mèo kh?n n?n dám bóp v?u v? tao à ??
Surprise,"gi?i quá ta , c? g?ng phát huy nha"
Other,"gi? mà quay l?i cái th?i ?i h?c , tao th? không ngoan n?a mà s? b? h?c ?i ch?i vài b?a"
Other,?n c? th? gi?i ?ã
Anger,"m?y cái th?ng này x? b?n h?t ?i , to xác không lo làm ?n su?t ngày tr?m c?p"
Disgust,"??a lên ?? nh?n ??ng c?m à ?? h? sai h? ch?u ph?t , còn ng??i ta ?? xe nh? th? b?n ch? có quy?n gì ?u?i ng??i ta c? . b? d?n t? t??ng ???ng tr??c c?a nhà ta là c?a ta ?i ."
Sadness,chú này t?i l?m á :(
Anger,g?i ph??ng c?u ?i thôi
Disgust,link phim ?éo có .. mà zo toàn g?p bình lu?n xàm
Sadness,ch?c ki?p tr??c gieo nghi?p ki?p này ph?i gánh thôi
Enjoyment,hihi ?o t??ng
Enjoyment,hahah tao ch?a nghe hoàn ch?nh bài này l?n nào
Enjoyment,mình không quan tâm giá tr? h?c b?ng bao nhiêu . mà t? q . tâm em ?ó s? dành nh?ng gì cho ??t n??c sau khi h?c xong thôi . hee . chúc m?ng em .
Other,th? n?u sóc lên xong gõ thì n có trào lên không nh?
Other,2 tên s?a gi?ng nhau ?êm ?êm thì r? nhau hú ??
Other,dân dùng b?ng gi? có ???c khi?n trách không nh?
Disgust,vì mày là ??ng v? n?m x?a m? mày ?? vào ??u b? mày nên ngày nào nhìn m?t mày h?n c?ng cay cú nh? th? :))
Fear,ng??i ta ch? mu?n d? mày r?i xin m?t trái th?n . ??
Sadness,per huhu tr?i ?iii
Fear,l?p 5 mà vi?t ki?u này cô ?ánh gãy tay .
Enjoyment,con gái ch? th? :)))) con trai ?i dume mày có nh?n hàng không
Disgust,"xoá m? nó ?i , pr cho nó làm gì"
Enjoyment,t thích nhìn m?t c?a crush h?n là nhìn nó c??i
Enjoyment,hành ??ng ??p
Disgust,"??p ch?t m? nó ?i , nó làm ng??i ta nh?i máu c? tim có khác nào gi?t ng??i gián ti?p mà ? m? g?i là gi?t ng??i c?p ?? 2 ??y"
Enjoyment,"?ây là tao khi b?o "" tao bi?t ???ng mà , tin tao ."" ??"
Sadness,t nh? tao ?ang xem xxx thì ch?a c?m tai nghe ??????
Enjoyment,chu?n . hài lòng v?i nh?ng th? mình ?ang có . ??ng m? m?ng nh?ng th? vi?n vông
Enjoyment,per qu?o l?a m?y ??a ?i . ?? l? nay ??t vé luôn cho r?i . nóng quá r?i :))))
Disgust,"ai ??i cho ki?n ?en ??t tr .... nta cho ki?n vàng ??t ch? , ?n kì c?c"
Other,may quá tao ?ang nhà ??p ch?n xem c?nh này ch? ?ông v?y ?i ch?c ch?t
Disgust,m?t mày nhìn chán th?c
Disgust,c? 2 ??a ??u tr? con . yêu ???ng ki?u này thì lsao mà tính chuy?n lâu dài ???c
Fear,per ê tao v?i mày mà ?i cái c?u này ch?c r?t ngay b??c ??u quá ???? ?ã m?p r?i chân lùn n?a ?i qua b?ng ni?m tin
Sadness,?au lòng quá
Disgust,ch?i m?t d?y . g?p tao là ti?n theo ?i?n tho?i luôn
Enjoyment,v? này ch?c x? nhanh h?n v? trong thang máy .... ??????
Sadness,lúc rài không g?p ???c m?t c? rút n?a ??
Disgust,d?o này c? ?? v? nhây nh?p là h?p d?n c? dân m?ng à :)) tao th?y ?éo ??n m?c bu?n quá
Enjoyment,gi?ng tao h?i bé ... ??
Disgust,có ai không b? gi?t mình nh? tao không . nh?t vãi =)))
Sadness,n?m nay không ???c ?n d?i :((
Sadness,?ng b? b?t r?i :( r?i l?y gì coi
Enjoyment,"per th? lo?i m?i nè , có v? phê"
Enjoyment,con nào c?ng là con nhé . con trai tao t?p t? nh? ?ã bi?t t? lo và ph? m? r?i :))
Disgust,"cái con yêu nghiê ? tao này h?i nh? nó ph?p vào ?ùi mình . l?n ??u nhìn th?y nó t?? ? ng??i nó c?ng hi?n hi?n nh? con v?t , ai ng? m?i b?? ? c l?i g?n là nó di ? r??t mình . cái k?t là b?m tím ph?n ?ùi . ??n gi? ? th?y nó là auto né ."
Enjoyment,per nh?n kìa haha
Sadness,per ?i tong m?t n?m h?c ... nh?ng v?n t?t nghi?p ... :(
Sadness,càng thân thi?t khi quay l?ng càng ?au lòng .
Enjoyment,lâu r?i ch?a nghe ... nghe l?i v?n hay và ng?m nh? ngày nào :))
Other,tôi th?y t??ng lai c?a tôi trong b?c ?nh này :d
Enjoyment,"per ??u nhau to r?i , phen này hay"
Other,có th? bán l?i cho t? không ??????
